noisy_word,correct_word
te,the
tqhe,the
asnd,and
nd,and
ot,to
bo,to
oa,a
x,a
fn,in
hn,in
ixn,in
fjor,for
yfor,for
foz,for
ifs,is
ris,is
si,is
ou,on
rn,on
thax,that
tha,that
trat,that
ba,by
thsi,this
tis,this
ythis,this
wiht,with
wicth,with
dith,with
a,i
k,i
ou,you
nyou,you
youu,you
ia,it
ic,it
nott,not
noqt,not
nnot,not
ow,or
tbe,be
he,be
aire,are
rae,are
fro,from
freom,from
frm,from
tt,at
mt,at
amt,at
mas,as
fas,as
yur,your
uyour,your
yoru,your
al,all
sll,all
bave,have
ave,have
hmve,have
ew,new
unew,new
mnew,new
mor,more
mre,more
mose,more
acn,an
na,an
as,was
wags,was
ew,we
bwe,we
wil,will
wtill,will
wimll,will
homb,home
hoe,home
homq,home
xcan,can
ca,can
an,can
su,us
iabout,about
abouft,about
abrut,about
ie,if
fi,if
opage,page
age,page
nmy,my
sy,my
hays,has
das,has
hzas,has
searhc,search
searh,search
searcqh,search
frree,free
frez,free
fuee,free
ut,but
btu,but
oub,our
ur,our
onh,one
noe,one
ojne,one
oather,other
othe,other
uother,other
odo,do
hdo,do
gno,no
infromation,information
informatiod,information
informaton,information
tcime,time
hey,they
tey,they
sjte,site
ssite,site
siqte,site
hye,he
the,he
ugp,up
qup,up
mya,may
maz,may
hwat,what
whae,what
wht,what
whihh,which
whihc,which
whch,which
taeir,their
cheir,their
thseir,their
nws,news
nwes,news
onews,news
lut,out
otu,out
oout,out
uose,use
uye,use
us,use
ay,any
aoy,any
pany,any
tqhere,there
here,there
twere,there
sed,see
ese,see
onyl,only
olny,only
otly,only
sg,so
oso,so
is,his
ihs,his
qis,his
wden,when
wjen,when
whne,when
congact,contact
contwact,contact
contagt,contact
hree,here
hewre,here
heer,here
ubsiness,business
wo,who
woh,who
eb,web
dweb,web
weeb,web
laso,also
lso,also
new,now
nnow,now
ynow,now
hlep,help
yhelp,help
gte,get
egt,get
ge,get
pf,pm
vie,view
veiw,view
fview,view
onlnie,online
onlin,online
inline,online
w,c
fc,c
f,c
ifrst,first
fist,first
firs,first
ma,am
fm,am
beesn,been
aeen,been
ould,would
woud,would
twould,would
ohw,how
aow,how
hob,how
werge,were
ewre,were
ere,were
qme,me
kme,me
yme,me
zs,s
srvices,services
servics,services
seprvices,services
som,some
sone,some
thes,these
thest,these
theme,these
cliuck,click
clickk,click
itvs,its
ats,its
ike,like
ilke,like
likz,like
tservice,service
srvice,service
serviec,service
ex,x
thamn,than
htan,than
fnd,find
fin,find
fid,find
prie,price
pzice,price
xrice,price
sate,date
ate,date
bacd,back
bck,back
bacqk,back
tov,top
otp,top
tocp,top
peofle,people
wpeople,people
peole,people
hda,had
ha,had
liest,list
lits,list
lxst,list
naem,name
wame,name
nam,name
ust,just
gust,just
juts,just
ove,over
ovkr,over
stae,state
sate,state
satte,state
yeuar,year
yea,year
yera,year
bay,day
dya,day
xay,day
nito,into
inot,into
nto,into
amail,email
emial,email
eail,email
tow,two
to,two
wo,two
healtbh,health
healt,health
ealth,health
un,n
g,n
wrold,world
wordl,world
worxd,world
vre,re
nsxt,next
nxet,next
ext,next
xsed,used
osed,used
nsed,used
owrk,work
wrk,work
wrok,work
layst,last
lkst,last
lasn,last
msot,most
mosv,most
ost,most
productus,products
prodcuts,products
muisc,music
dmusic,music
usic,music
bul,buy
euy,buy
qbuy,buy
adta,data
datf,data
datia,data
mace,make
madke,make
makfe,make
tzem,them
tem,them
sohuld,should
shfuld,should
zroduct,product
poduct,product
prduct,product
ssytem,system
sytsem,system
pot,post
pots,post
psot,post
heyr,her
hr,her
he,her
kcity,city
ctiy,city
czty,city
ct,t
adg,add
dad,add
olicy,policy
polic,policy
nutber,number
numbear,number
succh,such
suuch,such
suh,such
pleae,please
pleaqe,please
pleaes,please
availale,available
availablpe,available
availabl,available
cophright,copyright
coyright,copyright
copyhright,copyright
uupport,support
slupport,support
supmport,support
mesage,message
meqsage,message
mestsage,message
aftjer,after
afetr,after
afte,after
bgst,best
besb,best
bent,best
softwae,software
softwaire,software
softqare,software
tmhen,then
thtn,then
jdan,jan
jkn,jan
jal,jan
gkood,good
gtod,good
goof,good
ideo,video
vdeo,video
viceo,video
wel,well
wewl,well
wzll,well
k,d
h,d
wkhere,where
wherue,where
wehre,where
inof,info
nifo,info
inao,info
rigths,rights
rihts,rights
rigdts,rights
upblic,public
pubic,public
pcblic,public
oboks,books
bmooks,books
hgih,high
igh,high
hgh,high
scfool,school
schookl,school
szchool,school
htrough,through
throush,through
thorugh,through
n,m
eah,each
eahc,each
ekch,each
linls,links
liynks,links
inks,links
sh,she
hse,she
he,she
revixw,review
redview,review
yeais,years
ytars,years
yeas,years
drder,order
odrer,order
ordre,order
verqy,very
vvry,very
pivacy,privacy
brivacy,privacy
pdivacy,privacy
bdook,book
bok,book
bxok,book
itmems,items
ites,items
tiems,items
ompany,company
complany,company
hr,r
nr,r
f,r
eead,read
rad,read
reda,read
grtoup,group
grouzp,group
groep,group
esx,sex
ex,sex
nbeed,need
nteed,need
nced,need
mnny,many
amny,many
cuser,user
usep,user
usre,user
sazd,said
sad,said
siad,said
ide,de
kde,de
dqe,de
dols,does
des,does
est,set
et,set
slet,set
undpr,under
uader,under
genearl,general
generral,general
genral,general
reseach,research
universit,university
universiy,university
univbersity,university
janunary,january
januamy,january
maii,mail
amil,mail
fuvll,full
bfull,full
fulbl,full
ma,map
muap,map
amp,map
erviews,reviews
revieys,reviews
reuviews,reviews
pyogram,program
prgoram,program
porgram,program
lifue,life
liee,life
lfe,life
nkow,know
aknow,know
knw,know
gpmes,games
gamses,games
wyay,way
oay,way
wy,way
dys,days
daas,days
das,days
managemen,management
manaaement,management
managemeknt,management
bp,p
n,p
prt,part
pat,part
art,part
oculd,could
ecould,could
cofld,could
grea,great
reat,great
ureat,great
uited,united
nuited,united
unityed,united
hotle,hotel
hoel,hotel
hotcel,hotel
rreal,real
nreal,real
leal,real
ef,f
g,f
iatem,item
kitem,item
itkm,item
internatioal,international
internatioxnal,international
enter,center
cneter,center
cdnter,center
eaby,ebay
eay,ebay
eby,ebay
mubst,must
muslt,must
mus,must
staore,store
stoe,store
seore,store
travael,travel
tzravel,travel
tratel,travel
coements,comments
cmoments,comments
commenjs,comments
mcde,made
maie,made
madje,made
dkevelopment,development
develpoment,development
deevlopment,development
rvport,report
erport,report
weport,report
omff,off
ofh,off
woff,off
membbr,member
mmmber,member
rember,member
ketails,details
detiils,details
lin,line
terums,terms
term,terms
tverms,terms
beofre,before
bffore,before
hotelfs,hotels
hoetls,hotels
hotelps,hotels
id,did
idd,did
hend,send
sned,send
sen,send
rigit,right
rfight,right
tpe,type
tyype,type
becwuse,because
becuse,because
beciuse,because
aocal,local
locpal,local
lockl,local
tqose,those
htose,those
tose,those
usnig,using
usrng,using
usinpg,using
esults,results
offiee,office
offiec,office
edcation,education
educawtion,education
educaion,education
naational,national
nationual,national
nationla,national
cr,car
qcar,car
cacr,car
desgin,design
gesign,design
esign,design
tak,take
tke,take
taie,take
posked,posted
poxsted,posted
uposted,posted
inqernet,internet
inpernet,internet
intrenet,internet
adderss,address
adrdess,address
cnmmunity,community
communty,community
communiuy,community
witrhin,within
withir,within
witfhin,within
staes,states
stats,states
statns,states
ared,area
aera,area
arez,area
wadnt,want
wandt,want
wnat,want
phne,phone
phoen,phone
pone,phone
dnd,dvd
dfd,dvd
dkd,dvd
shippicng,shipping
shpiping,shipping
erserved,reserved
rseerved,reserved
reseved,reserved
subjcet,subject
subejct,subject
ubject,subject
btween,between
beetween,between
betwee,between
folum,forum
form,forum
foum,forum
famiry,family
afmily,family
amily,family
ol,l
rl,l
logng,long
lolg,long
base,based
baded,based
baxsed,based
i,w
h,w
copde,code
cotde,code
shwo,show
sohw,show
soow,show
j,o
eevn,even
bliack,black
bllck,black
blck,black
chek,check
cehck,check
cveck,check
ospecial,special
specila,special
spnecial,special
priecs,prices
pricse,prices
price,prices
websitze,website
mebsite,website
webste,website
indkex,index
indx,index
inadex,index
ebing,being
beicg,being
bteing,being
wmoen,women
womepn,women
womne,women
mch,much
kmuch,much
uch,much
sing,sign
swgn,sign
sjign,sign
rile,file
filbe,file
fibe,file
ink,link
lini,link
lignk,link
opxn,open
pen,open
toaday,today
tohay,today
toda,today
teclnology,technology
tepchnology,technology
technloogy,technology
soyth,south
souts,south
soouth,south
caes,case
jcase,case
cas,case
pxoject,project
projecn,project
projaect,project
ame,same
saqme,same
pageo,pages
pagef,pages
pagevs,pages
qk,uk
ku,uk
vkrsion,version
versigon,version
versiwon,version
psection,section
secpion,section
ection,section
on,own
onw,own
oan,own
foudn,found
fond,found
fuond,found
psorts,sports
spots,sports
